"video_id"	"last_trending_date"	"publish_date"	"category_id"	"channel_title"	"views"	"likes"	"dislikes"	"comment_count"	"title"	"trend_day_count"	"tags_count"	"subscriber"	"category_desc"
"M6LTqtYKDtI"	"2017-11-27"	"2017-11-21"	10	"PTXofficial"	1420335	51801	1441	3499	"[OFFICIAL VIDEO] How Great Thou Art - Pentatonix featuring Jennifer Hudson"	5	35	14828172	"Music"
"vFK7oWLWapc"	"2017-11-29"	"2017-11-22"	1	"Jenny Nicholson"	338425	10947	2133	2991	"Justice League Bad"	7	0	214706	"Film and Animation"
"GyvRamX1VyA"	"2017-11-29"	"2017-11-21"	24	"Yes Theory"	480162	17538	325	1389	"Sneaking in EVERYWHERE for FREE (Yellow Vest Experiment)"	7	28	1145860	"Entertainment"
"Yq4_YocuVeg"	"2017-11-25"	"2017-11-22"	24	"Netflix"	116657	2162	47	207	"The Crown - Season 2 | Trailer: Philip [HD] | Netflix"	3	33	3181914	"Entertainment"
"0PW9MWDWLH8"	"2017-11-29"	"2017-11-22"	22	"Grace Helbig"	150117	11143	64	899	"WHISPER CHALLENGE w/ MY MOM // Grace Helbig"	7	14	3008137	"People & Blogs"
"SJUhFjNfaZY"	"2017-11-28"	"2017-10-17"	10	"DreamCastle_629"	72728	502	43	74	"How to turn your car crash into a catchy song"	6	10	50	"Music"
"Zxag9p-63RU"	"2017-11-24"	"2017-11-22"	24	"Warner Bros. Pictures"	1484851	6093	304	601	"12 STRONG - Official Trailer 2"	2	31	5029965	"Entertainment"
"HszBf-CJeVE"	"2017-11-29"	"2017-11-21"	24	"Zendaya"	1485868	64074	738	3230	"Zendaya's Wavy-Curly Hair Tutorial"	7	19	810427	"Entertainment"
"-xt_j2aIAkg"	"2017-11-29"	"2017-11-22"	17	"adidas Football"	2678479	9250	1755	921	"Predator Is Back"	7	34	1275884	"Sports"
"UQHSK-kgONk"	"2017-11-29"	"2017-11-21"	10	"Portugal. The Man"	279046	5342	83	342	"Portugal. The Man - Feel It Still [2017 American Music Awards Performance]"	7	8	402523	"Music"
"_akwfRuL4os"	"2017-11-28"	"2017-11-21"	22	"Chris Lee"	307975	9093	225	2172	"Highlights of the EA predatory behavior announcement"	6	0	10405	"People & Blogs"
"XcUiOyKclOI"	"2017-11-29"	"2017-11-21"	10	"Kelly Clarkson"	125128	4623	49	305	"Kelly Clarkson - Miss Independent / Love So Soft [2017 American Music Awards Performance]"	7	9	259619	"Music"
"CWrjDoEBQsw"	"2017-11-28"	"2017-11-21"	26	"How To Cake It"	612653	23052	301	2125	"How To Make A THANKSGIVING ROAST HAM Out Of Pink Vanilla CAKE | Yolanda Gampp | How To Cake It"	6	30	3588443	"Howto & Style"
"IuYFvaNHJug"	"2017-11-29"	"2017-11-21"	10	"NickJonasVEVO"	236971	10481	145	446	"Nick Jonas - Find You (Live From The 2017 American Music Awards)"	6	5	0	"Music"
"Yhea380bYp0"	"2017-11-28"	"2017-11-21"	10	"Green Day"	221395	18407	185	1298	"Green Day - 2000 Light Years Away"	6	6	2659129	"Music"
"7cTi6PHUqMw"	"2017-11-28"	"2017-11-21"	24	"John Campea"	40840	1435	86	824	"Are Critics What Killed Justice League? Sony Pay Too Much For Tarantino? - The John Campea Show"	6	11	116972	"Entertainment"
"WKcYTvyoidw"	"2017-11-28"	"2017-11-21"	25	"Business Insider"	45774	1100	56	297	"Parenting Habits That Could Keep Children From Succeeding In Life"	6	9	645196	"News & Politics"
"2a52cBN9qOA"	"2017-11-28"	"2017-11-21"	25	"CBS Miami"	2232	12	3	19	"Additional Remains Of Miami Gardens Soldier Recovered"	6	5	0	"News & Politics"
"v6d1rShfyZk"	"2017-11-27"	"2017-11-21"	22	"Voicebot"	4386	2	2	1	"YouTube Back on Echo Show"	5	5	36	"People & Blogs"
"mN4JWnTOSmg"	"2017-11-27"	"2017-11-19"	22	"The Sports King"	27571	286	6	41	"Drake - Virginia Black commercial"	5	0	104	"People & Blogs"
"t5SXnaaOJfY"	"2017-11-23"	"2017-11-20"	24	"Access Hollywood"	82123	258	98	107	"Christina Aguilera's Whitney Houston Tribute At AMAs Is Breathtaking | AMAs 2017 | Access Hollywood"	1	22	156448	"Entertainment"
"SW3X7-gk8q0"	"2017-11-27"	"2017-11-20"	10	"FallOutBoyVEVO"	437509	36907	306	4449	"Fall Out Boy - Yule Shoot Your Eye Out (Audio)"	5	10	3864568	"Music"
"qvLyNeMGdR4"	"2017-11-27"	"2016-12-28"	24	"John Sellars"	1689	7	0	2	"Ford Thunderbird SC commercial (1989)"	5	9	157	"Entertainment"
"XisRqF3ympA"	"2017-11-24"	"2017-11-20"	26	"Refinery29"	15787	410	13	81	"2017 Holiday Eyeshadow Palette Review | Beauty With Mi | Refinery29"	2	34	890739	"Howto & Style"
"jR5k_1Jgf2Y"	"2017-11-26"	"2017-11-20"	24	"E! News"	8798	60	18	20	"2017 American Music Awards: Red Carpet Fashion | E! News"	4	26	242795	"Entertainment"
"VjEyUUQP1s8"	"2017-11-26"	"2017-11-17"	28	"The Current Source"	3643	159	1	20	"31) Acrylic Bending for Electronics Enclosures"	4	9	3119	"Science & Technology"
"5HUCAF6898w"	"2017-11-23"	"2017-11-20"	28	"HACKADAY"	2367	55	1	4	"Alex Williams  - Prize-winning Designer of the Open Source Underwater Glider"	1	6	95190	"Science & Technology"
"rovAxg5A48Q"	"2017-11-23"	"2017-11-07"	28	"Taylor Alexander"	5584	38	2	10	"3D printed explorer robot"	1	7	374	"Science & Technology"
"9VH4yQrU_SY"	"2017-11-24"	"2017-11-23"	23	"The Tonight Show Starring Jimmy Fallon"	184579	2565	84	242	"Denzel Washington Wonders Where Exactly Drake Tattooed His Face"	1	42	15769455	"Comedy"
"1lGHZ5NMHRY"	"2017-11-30"	"2017-11-22"	28	"Apple"	4979612	46680	11703	0	"Holiday — Sway — Apple"	7	29	6034037	"Science & Technology"
"Wen6VQS6NG4"	"2017-11-30"	"2017-11-23"	28	"TheBackyardScientist"	975232	20140	1954	2172	"Giant Mousetrap powered Car"	7	7	3299643	"Science & Technology"
"6VoJHrdoIJw"	"2017-11-29"	"2017-11-23"	17	"PB Comps"	533004	9710	447	1196	"Neymar se irrita com pergunta do Real Madrid e abandona entrevista"	6	17	146840	"Sports"
"s7wLPGmnahE"	"2017-11-29"	"2017-11-22"	24	"E! Entertainment"	297279	1733	245	169	"KUWTK | Kris Jenner & Jonathan Cheban Put on Disguises | E!"	6	23	899996	"Entertainment"
"KIFiLnPHUoM"	"2017-11-28"	"2017-11-22"	28	"HACKADAY"	2805	52	7	8	"The Engineering and Culture of the Mechanical Keyboard"	5	9	95190	"Science & Technology"
"aXLS_WDIugk"	"2017-11-28"	"2016-11-10"	24	"Royal Academy of Arts"	17716	49	2	2	"Jackson Pollock in 60 seconds"	5	5	6809	"Entertainment"
"a9i2wTxsxV0"	"2017-11-27"	"2015-09-21"	1	"Spectrum Haleskarth"	6122	16	0	8	"The Adventures of Ford Fairlane: Springloaded gun mishap"	4	5	11	"Film and Animation"
"avDL9JRcmgs"	"2017-11-27"	"2017-11-13"	22	"Milkmen Design"	5696	8	0	1	"DipClip | Chicken Nugget Rally Testing | How secure is your sauce?"	4	47	15	"People & Blogs"
"TncLBbJ8SZo"	"2017-11-26"	"2017-11-20"	28	"Tech Insider"	14175	344	13	106	"Does Turkey Make You Sleepy?"	3	12	1420833	"Science & Technology"
"mqbwgqoF64Q"	"2017-11-26"	"2017-11-20"	24	"Masters Of The Sun"	5169	27	0	4	"Masters Of The Sun: The Zombie Chronicles Augmented Reality Experience Release Date Trailer"	3	28	154	"Entertainment"
"LmO1y1ISuak"	"2017-11-25"	"2017-11-20"	28	"bigclivedotcom"	51186	2106	22	320	"Inside a 22mm digital panel indicator/voltmeter."	2	23	346440	"Science & Technology"
"xGz_FZ0ePwE"	"2017-12-01"	"2017-11-24"	10	"RAP DAILY"	1244459	17517	3671	8002	"Mase - The Oracle (Cam'Ron Diss)"	7	5	0	"Music"
"LgmxMuW6Fsc"	"2017-12-01"	"2017-11-23"	10	"OK Go"	7967275	91200	4803	5805	"OK Go - Obsession - Official Video"	7	10	763901	"Music"
"RK_B4Ez4_5Q"	"2017-11-25"	"2017-11-23"	24	"Verizon"	2618344	45197	2315	3332	"Verizon 360 Live: The Macy’s Thanksgiving Day Parade"	1	17	114586	"Entertainment"
"AcoALQl7jfA"	"2017-11-29"	"2017-11-24"	23	"Late Night with Seth Meyers"	415263	4192	474	631	"Seth Announces a New Addition to His Family"	5	27	1968678	"Comedy"
"kn4kBibdlWA"	"2017-11-28"	"2017-11-24"	23	"The Tonight Show Starring Jimmy Fallon"	784451	6845	772	758	"Stand-Up Battle with Jerry Seinfeld"	4	30	15769455	"Comedy"
"uUvgMnzplt4"	"2017-11-28"	"2017-11-23"	23	"IISuperwomanII"	2263186	144938	1736	11631	"When You Meet Your Ex's New Girlfriend (ft. Karlie Kloss)"	4	33	13357328	"Comedy"
"IumYMCllMsM"	"2017-11-29"	"2017-11-23"	10	"Atlantic Records"	3202879	110088	1728	3623	"Machine Gun Kelly, X Ambassadors & Bebe Rexha - Home (from Bright: The Album) [Music Video]"	5	22	7296670	"Music"
"hGoQ44SfV-c"	"2017-12-01"	"2017-11-24"	26	"ELLEUKTV"	714359	9635	808	2025	"Daisy Ridley Builds A Millennium Falcon (While Answering Our Questions)"	7	0	19328	"Howto & Style"
"UiWGp8dFr5k"	"2017-11-30"	"2017-11-23"	24	"The Late Late Show with James Corden"	333626	3264	286	367	"Krysten Ritter Has Weak Tinder Game"	6	26	13608050	"Entertainment"
"_r9GPgvN8As"	"2017-11-28"	"2017-11-23"	24	"Warner Bros. Pictures"	769805	7621	481	979	"SMALLFOOT - Teaser Trailer"	4	25	5029965	"Entertainment"
"yTyLXFAIfOI"	"2017-11-27"	"2017-11-23"	26	"Refinery29"	52109	1411	50	164	"I Got Transformed Into Katy Perry | Beauty Evolution | Refinery29"	3	37	890739	"Howto & Style"
"PE7ZhHirBFk"	"2017-11-27"	"2017-11-22"	26	"The Scran Line"	22786	1349	25	221	"MATCHA RED BEAN CUPCAKES - The Scran Line"	3	13	387825	"Howto & Style"
"VdugkldCx10"	"2017-11-29"	"2017-11-21"	10	"DisneyMusicVEVO"	284176	9477	271	532	"When We're Together (From Olaf's Frozen Adventure/Official Lyric Video)"	5	22	9420289	"Music"
"9vlKOFd73XM"	"2017-11-28"	"2013-03-12"	25	"Kanimuna Kisaka"	10692	49	23	26	"Pepsi Uses Aborted Babies to Flavor Test Soda- Alex Jones"	4	19	11351	"News & Politics"
"wFEAoF7RC7Y"	"2017-11-28"	"2008-06-17"	10	"BehindTheSounds"	86897	469	4	106	"Behind The Sounds: That's Not Me"	4	23	6890	"Music"
"QY83PJXQYXc"	"2017-11-28"	"2017-11-22"	17	"NBA"	28091	1614	44	260	"SDC GOES BEHIND THE SCENES OF CAVALIERS VS PISTONS GAME!"	4	17	8707071	"Sports"
"QME3eyBXqpU"	"2017-11-27"	"2017-11-21"	26	"ELLE"	327739	6231	52	160	"This Is How a Victoria's Secret Fashion Show 2017 Costume Gets Made"	3	15	214786	"Howto & Style"
"yef_HfQoBd8"	"2017-11-27"	"2017-11-25"	24	"Netflix"	1776191	21783	1286	2426	"Black Mirror - Arkangel | Official Trailer [HD] | Netflix"	2	32	3181914	"Entertainment"
"CzCfd0eaWoA"	"2017-12-02"	"2017-11-25"	26	"ThreadBanger"	1361969	90736	1102	8234	"We Bought a 100 Year Old Fixer Upper - Man Vs House Ep.1"	7	13	3877691	"Howto & Style"
"AxWxJNHoLC8"	"2017-12-01"	"2017-11-25"	22	"BuzzFeedVideo"	819692	19897	1597	2355	"What Is Schizophrenia Like?"	6	41	14889874	"People & Blogs"
"qKh7JdoPZz4"	"2017-12-01"	"2017-11-25"	23	"Thomas Sanders"	294007	29017	251	6890	"Lesser Known BROADWAY Songs - Mystery Solo | Thomas Sanders"	6	39	2496693	"Comedy"
"dHDn26UX4aw"	"2017-12-01"	"2017-11-24"	23	"Lame Videos"	872663	12449	1267	1857	"VR Fail: My buddy tried VR for the first time last night. I ended up with a broken TV"	6	12	473	"Comedy"
"gwrfwx1QcDQ"	"2017-12-01"	"2017-11-24"	26	"AmazingPhil"	2127874	286258	1796	44520	"Phil is not on fire 9"	6	28	4232293	"Howto & Style"
"U22EEAK_VLc"	"2017-12-01"	"2017-11-25"	26	"Laura in the Kitchen"	148590	5182	169	270	"3 Ingredient Sea Salted Chocolate Pretzel Bark | Episode 1211"	6	23	3049000	"Howto & Style"
"VQdKe6_3PAU"	"2017-12-01"	"2017-11-25"	1	"Butch Hartman"	145560	5114	232	670	"Drawing MatPat in the Fairly OddParents Style & Talking Theories with MATPAT!"	6	12	675157	"Film and Animation"
"4sXyLTk0IAQ"	"2017-12-01"	"2017-11-24"	23	"Anew Start"	443969	4783	157	721	"When your dog really needs a mud bath!"	6	7	5613	"Comedy"
"aobdrJr6UaE"	"2017-12-01"	"2017-11-25"	26	"Ingrid Nilsen"	123804	4136	463	519	"4 Ways to Style a Black Bodysuit | Ingrid Nilsen"	6	10	3889712	"Howto & Style"
"07bTt0BTi-U"	"2017-11-30"	"2017-11-23"	24	"EverythingApplePro"	729500	22885	751	3235	"Glowing Speaker iPhone Mod! See Your Music in RGB!"	5	26	5265974	"Entertainment"
"uO_8d1t5Xh4"	"2017-11-26"	"2017-11-22"	24	"Pitch Perfect"	832700	28956	131	752	"Pitch Perfect 3 x The Voice Freedom! ’90 x Cups"	1	39	351366	"Entertainment"
"tj3EKWwIulQ"	"2017-11-29"	"2017-11-22"	24	"HARRY"	4050	0	0	0	"Sarah Michelle Gellar Vs. Sarah Michelle Prinze"	4	15	52856	"Entertainment"
"Ft-cmkjgOlk"	"2017-11-28"	"2017-11-22"	1	"Turbo Conquering Mega Eagle"	23393	226	29	75	"Anti Tank Crossbow!"	3	23	10233	"Film and Animation"
"Y8JGfi4MJ8k"	"2017-11-28"	"2008-08-07"	10	"flirppy242"	26830	79	1	8	"SAOIRSE RONAN - MORONIC (IRONIC)"	3	14	15	"Music"
"qXivpclxftM"	"2017-12-02"	"2017-11-25"	23	"JonTronShow"	3558563	221868	4678	26660	"Weird Workout Videos - JonTron"	6	15	4002256	"Comedy"
"wppAQ8uZpfQ"	"2017-11-28"	"2017-11-26"	23	"Cracked"	644576	29669	4862	4963	"How Millennials Are Killing the Diamond Industry"	2	25	2158902	"Comedy"
"515lLZS082U"	"2017-12-03"	"2017-11-27"	24	"Pitch Perfect"	4046720	68563	3222	3700	"Pitch Perfect 3 - Riff-Off Clip [HD]"	7	38	351366	"Entertainment"
"iA5u80nS1PQ"	"2017-12-02"	"2017-11-25"	23	"Dorkly"	1339398	39094	1471	3810	"More Pokemon Who Are Disappointed With Their Evolutions"	6	13	2498166	"Comedy"
"VSJ0STT8JRw"	"2017-12-02"	"2017-11-25"	23	"CollegeHumor"	768647	26303	841	2316	"Stop Pitching Sketches About Other Cast Members"	6	26	12641442	"Comedy"
"sfweKCYOPFc"	"2017-11-30"	"2017-11-25"	26	"BuzzFeed Nifty"	295048	2338	2221	499	"7 Things You've Been Using Wrong Your Whole Life"	4	13	577026	"Howto & Style"
"Bzji05zubSc"	"2017-12-02"	"2017-11-26"	24	"Miss Universe"	737415	4136	393	1314	"2017 Miss Universe National Costume Show"	6	14	290470	"Entertainment"
"f9psILoYmCc"	"2017-12-03"	"2017-11-26"	25	"NZPoliceRecruitment"	965328	20934	699	64	"Freeze! NZ Police’s most entertaining recruitment video, yet!"	6	0	2967	"News & Politics"
"_6uvQtccJss"	"2017-12-01"	"2017-11-25"	26	"Bethany Mota"	1281002	74074	1208	50319	"BLACK FRIDAY HAUL 2017 + TRY ON | Bethany Mota"	5	19	10534195	"Howto & Style"
"t4ZsyO1n-kA"	"2017-12-01"	"2017-11-25"	24	"The Grand Tour"	1058992	22551	284	1296	"Making The Grand Tour: James's Candidate for the Driver"	5	25	739264	"Entertainment"
"VoAzRs3sE70"	"2017-11-30"	"2017-11-25"	26	"INSIDER"	268241	5446	330	392	"11 Products That Will Make Mornings So Much Easier"	4	7	1461545	"Howto & Style"
"VUbsFtLkGN8"	"2017-11-27"	"2017-11-24"	25	"Vox"	831957	24840	1128	3651	"Road signs suck. What if we got rid of them all?"	1	34	3808198	"News & Politics"
"PtNRJvsLHV0"	"2017-11-30"	"2017-11-24"	22	"AmandaMoor & Craft Ideas"	18897	314	48	34	"How To Make A Gift Box Out Of Paper Easy"	4	19	0	"People & Blogs"
"npcqBt_e4k0"	"2017-11-30"	"2017-11-23"	24	"Sesame Street"	553734	6428	161	586	"Sesame Street: Sharing Things (Stranger Things Parody)"	4	22	3412673	"Entertainment"
"6JvRVILczps"	"2017-11-28"	"2017-11-20"	17	"Gatorade"	1073561	1299	16	55	"Gatorade | Sisters in Sweat ft. Serena Williams"	2	23	133240	"Sports"
"gO_QM9oUcM0"	"2017-11-28"	"2012-02-13"	22	"Srinath .S"	87215	407	27	140	"A scene from Suicide Club 2.avi"	2	23	93	"People & Blogs"
"THr_seahKUI"	"2017-12-06"	"2017-11-27"	25	"The White House"	2304379	35108	24731	19012	"2017 Christmas Decorations at the White House"	9	0	1036582	"News & Politics"
"uZ1M3DkKCEI"	"2017-12-05"	"2017-11-27"	10	"PitbullVEVO"	6877412	208531	11055	14351	"Pitbull, Fifth Harmony - Por Favor (Official Video)"	8	20	10007174	"Music"
"5qxqo2CQakA"	"2017-12-05"	"2017-11-27"	23	"Smosh"	1429023	33689	8370	3057	"EVERY STAR WARS FAN EVER"	8	15	22919161	"Comedy"
"QzfnWcHhdyQ"	"2017-11-28"	"2017-11-27"	17	"NFL"	1172709	11033	958	3510	"Packers vs. Steelers | NFL Week 12 Game Highlights"	1	49	3212413	"Sports"
"UqItlHUSN-4"	"2017-12-05"	"2017-11-27"	10	"PTXofficial"	3513086	118784	3594	11060	"[OFFICIAL VIDEO] Deck The Halls - Pentatonix"	8	35	14828172	"Music"
"f3uZxD39awA"	"2017-12-03"	"2017-11-27"	24	"The View"	502681	2699	1854	2193	"Meghan Markle Engaged To Prince Harry | The View"	5	5	381107	"Entertainment"
"2mrOcJNPxEc"	"2017-11-29"	"2017-11-27"	25	"TODAY"	204915	1179	421	1025	"Prince Harry And Meghan Markle Are Engaged And Royal Wedding Set For Spring | TODAY"	2	32	630508	"News & Politics"
"GBhrvR838Ag"	"2017-12-01"	"2017-11-27"	25	"CNN"	169022	1250	705	1169	"Prince Harry and Meghan Markle reveal proposal details"	4	7	3095131	"News & Politics"
"2fGXDFiFBhg"	"2017-12-03"	"2017-11-26"	28	"Unbox Therapy"	5068126	206489	18261	51847	"DON'T Buy The iPhone X"	6	34	10286333	"Science & Technology"
"LQicq60aJaw"	"2017-12-05"	"2017-11-27"	25	"BBC News"	1218771	8737	1004	3906	"FULL Interview: Prince Harry and Meghan Markle  - BBC News"	7	16	2119249	"News & Politics"
"sOIBkZsGb0A"	"2017-12-03"	"2017-11-27"	23	"Just Between Us"	168118	5670	399	614	"Should You Confess Feelings To A Friend? / Gaby & Allison"	6	19	760517	"Comedy"
"QssLKnUk6pg"	"2017-12-03"	"2017-11-27"	24	"The Real Daytime"	249973	4414	180	491	"Ray J. and Princess Love’s Big News!"	6	8	1131789	"Entertainment"
"lOT0GOyw2pY"	"2017-11-29"	"2017-11-27"	25	"Vox"	695072	18723	2365	4784	"The robot-proof job men aren't taking"	2	28	3808198	"News & Politics"
"d-NCySETRIc"	"2017-11-29"	"2017-11-26"	24	"Netflix"	486240	7073	174	637	"Black Mirror - Crocodile | Official Trailer [HD] | Netflix"	2	28	3181914	"Entertainment"
"m7CtnR47w20"	"2017-12-03"	"2017-11-27"	28	"ElectroBOOM"	311117	19172	255	1698	"Quality Audio Recording for Video"	6	38	1346352	"Science & Technology"
"KrxDhokzEv4"	"2017-12-03"	"2017-11-27"	26	"JerryRigEverything"	759274	24368	837	4077	"Razer Phone Durability test - Scratch BURN and BEND tested!"	6	12	1689905	"Howto & Style"
"IOuFE-6Awos"	"2017-11-28"	"2017-11-27"	24	"TheEllenShow"	1548962	122670	1421	15016	"Ellen Makes 'Friends' with BTS!"	1	15	23760020	"Entertainment"
"X26e3rK5SSM"	"2017-12-02"	"2017-11-26"	10	"Cam'ron"	980944	8335	2517	5304	"Cam'ron - Dinner Time (Mase Diss Track - Official Audio)"	5	22	23765	"Music"
"bkwLxcfcKTY"	"2017-12-02"	"2017-11-27"	26	"The Scran Line"	49313	2466	74	291	"PEACH MACARONS - The Scran Line"	5	13	387825	"Howto & Style"
"RQOgG4MLh1I"	"2017-12-03"	"2017-11-26"	24	"The X Factor UK"	1201905	32974	273	0	"Ed Sheeran delivers a Perfect performance | Live Shows | The X Factor 2017"	6	18	6282974	"Entertainment"
